index,slack,requirement,datapath_delay,logic_levels,startpoint,endpoint
116,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[28]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[18][28]/D
117,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[29]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[18][29]/D
118,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[18][2]/D
119,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[30]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[18][30]/D
120,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[31]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[18][31]/D
121,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[3]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[18][3]/D
122,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[18][4]/D
123,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[5]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[18][5]/D
124,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[6]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[18][6]/D
125,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[7]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[18][7]/D
126,0.000,0.000,1.608,1,core_i/core_i/id_stage_i/register_file_i/wdata_b_q_reg[8]/C,core_i/core_i/id_stage_i/register_file_i/mem_reg[18][8]/D
